有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,代號,公司名稱
7725　列特博,TW0007725004,2023/12/22,興櫃,生技醫療業,ESVUFR,7725,列特博
7726　暄達,TW0007726002,2024/02/27,興櫃,生技醫療業,ESVUFR,7726,暄達
7728　光焱科技,TW0007728008,2024/03/18,興櫃,其他電子業,ESVUFR,7728,光焱科技
7729　仲恩生醫,TW0007729006,2024/03/11,興櫃,生技醫療業,ESVUFR,7729,仲恩生醫
7730　暉盛,TW0007730004,2024/03/18,興櫃,半導體業,ESVUFR,7730,暉盛
7731　火星生技*,TW0007731002,2024/02/05,興櫃,食品工業,ESVUFR,7731,火星生技*
7732　金興精密,TW0007732000,2024/03/13,興櫃,電機機械,ESVUFR,7732,金興精密
7734　印能科技,TW0007734006,2024/03/14,興櫃,半導體業,ESVUFR,7734,印能科技
7736　虎山,TW0007736001,2024/03/27,興櫃,電機機械,ESVUFR,7736,虎山
7743　金利食安,TW0007743007,2024/04/23,興櫃,食品工業,ESVUFR,7743,金利食安
8041　東精電,TW0008041005,2022/01/13,興櫃,電機機械,ESVUFR,8041,東精電
8045　達運光電,TW0008045006,2017/05/22,興櫃,通信網路業,ESVUFR,8045,達運光電
8098　慶康科技,TW0008098005,2023/10/31,興櫃,半導體業,ESVUFR,8098,慶康科技
8102　傑霖科技,TW0008102005,2023/10/27,興櫃,半導體業,ESVUFR,8102,傑霖科技
8119　公信,TW0008119009,2017/07/04,興櫃,電腦及週邊設備業,ESVUFR,8119,公信
8272　全景軟體,TW0008272006,2023/10/17,興櫃,資訊服務業,ESVUFR,8272,全景軟體
8298　威睿,TW0008298001,2018/03/28,興櫃,資訊服務業,ESVUFR,8298,威睿
8329　台視,TW0008329004,2007/09/06,興櫃,文化創意業,ESVUFR,8329,台視
8359　錢櫃,TW0008359001,2012/05/03,興櫃,觀光餐旅,ESVUFR,8359,錢櫃
8458　影一,TW0008458001,2014/10/27,興櫃,文化創意業,ESVUFR,8458,影一
9957　燁聯,TW0009957001,2003/01/03,興櫃,鋼鐵工業,ESVUFR,9957,燁聯
